loss now: tensor(2162.9795, grad_fn=<AddBackward0>)
loss now: tensor(2150.5693, grad_fn=<AddBackward0>)
loss now: tensor(2141.1877, grad_fn=<AddBackward0>)
loss now: tensor(2132.9692, grad_fn=<AddBackward0>)
loss now: tensor(2123.1555, grad_fn=<AddBackward0>)
loss now: tensor(2113.4331, grad_fn=<AddBackward0>)
loss now: tensor(2106.2644, grad_fn=<AddBackward0>)
loss now: tensor(2100.1602, grad_fn=<AddBackward0>)
loss now: tensor(2092.4768, grad_fn=<AddBackward0>)
loss now: tensor(2083.2251, grad_fn=<AddBackward0>)
loss now: tensor(2074.2964, grad_fn=<AddBackward0>)
loss now: tensor(2067.7991, grad_fn=<AddBackward0>)
loss now: tensor(2062.5955, grad_fn=<AddBackward0>)
loss now: tensor(2056.3582, grad_fn=<AddBackward0>)
loss now: tensor(2049.2451, grad_fn=<AddBackward0>)
loss now: tensor(2041.9719, grad_fn=<AddBackward0>)
loss now: tensor(2035.1259, grad_fn=<AddBackward0>)
loss now: tensor(2029.4390, grad_fn=<AddBackward0>)
loss now: tensor(2024.4790, grad_fn=<AddBackward0>)
loss now: tensor(2018.9537, grad_fn=<AddBackward0>)

Week 8 finished!

loss now: tensor(2040.2661, grad_fn=<AddBackward0>)
loss now: tensor(2033.0875, grad_fn=<AddBackward0>)
loss now: tensor(2027.7610, grad_fn=<AddBackward0>)
loss now: tensor(2022.1659, grad_fn=<AddBackward0>)
loss now: tensor(2016.1285, grad_fn=<AddBackward0>)
loss now: tensor(2010.4062, grad_fn=<AddBackward0>)
loss now: tensor(2005.4296, grad_fn=<AddBackward0>)
loss now: tensor(2000.3624, grad_fn=<AddBackward0>)
loss now: tensor(1995.7463, grad_fn=<AddBackward0>)
loss now: tensor(1993.7850, grad_fn=<AddBackward0>)
loss now: tensor(1996.1663, grad_fn=<AddBackward0>)
loss now: tensor(2001.4297, grad_fn=<AddBackward0>)
loss now: tensor(1997.0748, grad_fn=<AddBackward0>)
loss now: tensor(1978.5596, grad_fn=<AddBackward0>)
loss now: tensor(1963.2227, grad_fn=<AddBackward0>)
loss now: tensor(1966.4069, grad_fn=<AddBackward0>)
loss now: tensor(1967.9730, grad_fn=<AddBackward0>)
loss now: tensor(1955.2966, grad_fn=<AddBackward0>)
loss now: tensor(1946.6592, grad_fn=<AddBackward0>)
loss now: tensor(1947.9438, grad_fn=<AddBackward0>)

Week 9 finished!

loss now: tensor(1955.7865, grad_fn=<AddBackward0>)
loss now: tensor(1946.1279, grad_fn=<AddBackward0>)
loss now: tensor(1942.8774, grad_fn=<AddBackward0>)
loss now: tensor(1940.2253, grad_fn=<AddBackward0>)
loss now: tensor(1933.2506, grad_fn=<AddBackward0>)
